Year	Language	FREQUENCY
	eng	965
0000	fre	1
0197	eng	1
0650	lat	1
0800	ara	1
1000	lat	1
1059	eng	1
1100	cop	3
1150	lat	2
1156	per	1
1175	enm	1
1200	eng	1
1257	lat	1
1300	eng	1
1340	ita	1
1400	ita	3
1451	eng	1
1468	lat	1
1469	lat	2
1470	lat	5
1471	lat	2
1472	lat	7
1473	lat	14
1474	lat	15
1475	ger	23
1476	lat	24
1477	lat	22
1478	lat	22
1479	lat	15
1480	lat	12
1481	roa	13
1482	lat	23
1483	lat	15
1484	lat	15
1485	roa	20
1486	lat	21
1487	lat	23
1488	lat	22
1489	lat	17
1490	lat	25
1491	lat	24
1492	lat	16
1493	spa	30
1494	roa	26
1495	ita	23
1496	lat	23
1497	lat	17
1498	lat	24
1499	lat	24
1500	lat	21
1501	roa	2
1502	roa	5
1503	fre	7
1504	ita	2
1505	lat	9
1506	lat	2
1507	heb	7
1508	gmh	2
1509	spa	7
1510	lat	12
1511	heb	6
1512	heb	2
1513	lat	12
1514	lat	15
1515	spa	12
1516	eng	15
1517	lat	7
1518	heb	5
1519	lat	13
1520	lat	13
1521	lat	12
1522	heb	13
1523	ger	25
1524	ger	11
1525	lat	10
1526	ita	5
1527	lat	7
1528	ger	6
1529	lat	7
1530	lat	5
1531	lat	7
1532	lat	6
1533	ger	12
1534	ita	5
1535	lat	9
1536	lat	6
1537	ger	9
1538	ger	20
1539	lat	11
1540	lat	3
1541	heb	6
1542	ger	3
1543	lat	7
1544	yid	17
1545	heb	28
1546	lat	39
1547	lat	10
1548	lat	11
1549	ger	25
1550	ita	20
1551	eng	16
1552	ita	12
1553	eng	21
1554	ger	29
1555	lat	12
1556	ger	17
1557	ger	27
1558	ger	23
1559	ita	20
1560	lat	28
1561	lat	11
1562	eng	13
1563	eng	13
1564	pol	12
1565	lat	16
1566	eng	26
1567	lat	20
1568	eng	10
1569	eng	20
1570	ger	10
1571	ger	8
1572	grc	6
1573	lat	9
1574	lat	15
1575	eng	14
1576	lat	22
1577	eng	18
1578	eng	7
1579	lat	16
1580	eng	18
1581	eng	16
1582	lat	27
1583	lat	18
1584	lat	15
1585	lat	42
1586	eng	26
1587	eng	27
1588	lat	16
1589	lat	13
1590	ita	27
1591	heb	18
1592	lat	13
1593	lat	37
1594	eng	31
1595	lat	24
1596	eng	30
1597	eng	24
1598	lat	22
1599	lat	22
15uu	heb	2
1600	lat	55
1601	eng	26
1602	eng	25
1603	eng	21
1604	lat	21
1605	fre	23
1606	lat	36
1607	lat	25
1608	lat	20
1609	lat	35
1610	lat	34
1611	ita	26
1612	dut	35
1613	lat	18
1614	lat	33
1615	eng	55
1616	eng	20
1617	eng	31
1618	eng	32
1619	eng	29
1620	lat	22
1621	dut	26
1622	lat	21
1623	dut	31
1624	fre	24
1625	eng	21
1626	lat	13
1627	dut	12
1628	ita	20
1629	eng	19
1630	eng	20
1631	eng	12
1632	eng	13
1633	lat	20
1634	lat	16
1635	eng	16
1636	lat	11
1637	lat	16
1638	eng	26
1639	ger	21
1640	eng	33
1641	eng	16
1642	eng	25
1643	eng	28
1644	eng	33
1645	eng	20
1646	eng	35
1647	lat	23
1648	lat	46
1649	fre	22
1650	lat	36
1651	lat	23
1652	lat	46
1653	eng	45
1654	eng	21
1655	eng	50
1656	lat	26
1657	lat	28
1658	eng	33
1659	eng	19
1660	lat	46
1661	ger	32
1662	lat	21
1663	lat	26
1664	ger	34
1665	eng	42
1666	fre	27
1667	lat	29
1668	eng	21
1669	eng	21
1670	lat	29
1671	fre	23
1672	eng	31
1673	fre	23
1674	hun	22
1675	ger	24
1676	eng	28
1677	lat	24
1678	ita	27
1679	ger	37
1680	ita	22
