YEAR	SUBJECT	COUNTRY	COUNT(key_term)
	Generals	xx_	295
0000	Communism	mau	1
0197	Urban renewal	fr_	1
0650	Manuscripts, Medieval	enk	1
0800	Islamic philosophy	mau	1
1000	Land grants	enk	1
1059		ne_	0
1100	Medicine, Magic, mystic, and spagiric	mau	2
1150		enk	1
1156	Persian language	mau	1
1175		enk	0
1200	Export marketing	mau	1
1257	Court records	enk	1
1300	English literature	enk	1
1340	Administration of estates	mau	1
1400	Shipment of goods	mau	2
1451	Pewterers	enk	1
1468	Contracts (Canon law)	gw_	1
1469	Canon law	fr_	2
1470	Procurators (Rome)	gw_	2
1471		it_	1
1472		it_	5
1473	Forms (Canon law)	fr_	12
1474	Procedure (Canon law)	it_	11
1475	Statutes	sz_	18
1476		it_	12
1477		it_	13
1478	Ecclesiastical law	gw_	8
1479		it_	3
1480	Roman law	gw_	7
1481	Statutes	enk	6
1482	Incunabula	gw_	10
1483	Ecclesiastical law	enk	9
1484	Statutes	gw_	9
1485	Law	enk	11
1486		it_	11
1487	Benefices, Ecclesiastical (Canon law)	it_	11
1488		fr_	14
1489	Canon law	it_	10
1490		fr_	18
1491	Handbooks, vade-mecums, etc	gw_	17
1492	Forms (Canon law)	it_	11
1493		sp_	23
1494	Writs	enk	12
1495		xx_	19
1496		fr_	12
1497	Persons (Roman law)	it_	12
1498		it_	11
1499	Canon law	sz_	16
1500	Military law (Roman law)	ge_	13
1501	Actions and defenses	enk	2
1502	Pleas of the crown	enk	4
1503	Customary law	fr_	5
1504		it_	1
1505	Fables, Latin (Medieval and modern)	gw_	6
1506	Architecture, Domestic	it_	2
1507		it_	3
1508		gw_	0
1509	Ships	sp_	7
1510		gw_	2
1511	Jewish ethics	tu_	3
1512		tu_	0
1513		it_	6
1514		gw_	5
1515	Statutes	sp_	6
1516		enk	12
1517		it_	3
1518		tu_	1
1519		fr_	8
1520		gw_	5
1521		gw_	7
1522		tu_	6
1523	Authority	xx_	10
1524		gw_	4
1525	Canon law	gw_	8
1526	Love	it_	4
1527	Emperors	gw_	5
1528		sz_	2
1529	Dictionaries, Polyglot	gw_	6
1530		gw_	4
1531		fr_	4
1532	Clergy	gw_	2
1533	Lutheran Church	gw_	12
1534		it_	3
1535	Obedience	enk	5
1536	Lutheran Church	gw_	2
1537	Reformation	gw_	3
1538		gw_	15
1539	Councils and synods	gw_	2
1540	Botany	gw_	2
1541		fr_	3
1542	Ecclesiastical law	gw_	1
1543	Angels	gw_	5
1544		gw_	5
1545	Jewish law	it_	21
