Sum of normalized_frequency	Column Labels										
Row Labels	Art	Children	Ethics	Jews	Language	Law	Literature	Politics	Religion	Science	Grand Total
1949	0.259050855	0.114661854	0.053084192	0.040343986	0.197473192	0.278161164	0.104045015	0.129525427	0.114661854	0.339738826	1.630746364
1950	0.379437411	0.127695283	0.045605458	0.04378124	0.235324164	0.279105403	0.069320296	0.114925754	0.173300741	0.291874932	1.760370681
1951	0.335543338	0.086917853	0.050533635	0.016170763	0.19809185	0.254689521	0.10106727	0.086917853	0.127344761	0.32139392	1.578670763
1952	0.341705438	0.129346126	0.04826348	0.034749706	0.231664704	0.260622792	0.088804803	0.100388038	0.117762891	0.31274735	1.666055329
1953	0.30644451	0.089914856	0.027524956	0.023854962	0.242219612	0.23120963	0.122944803	0.088079859	0.128449794	0.348649442	1.609292425
1954	0.429859509	0.090864612	0.054169288	0.034947928	0.248130286	0.297057384	0.08212763	0.076885441	0.110085972	0.340742294	1.764870343
1955	0.407304553	0.11613229	0.06563999	0.026929227	0.279390726	0.244046116	0.122864596	0.092569217	0.127913826	0.31810149	1.800892031
1956	0.494978821	0.096774705	0.044421176	0.031729412	0.241143528	0.212587058	0.174511764	0.071391176	0.126917646	0.361715292	1.856170577
1957	0.457727117	0.083223112	0.041611556	0.032694794	0.249669337	0.245210956	0.196168765	0.087681493	0.136723684	0.298711528	1.829422342
1958	0.418098913	0.089793055	0.054717643	0.026657313	0.230094704	0.200631357	0.204840407	0.088390039	0.140301649	0.319887759	1.773412838
1959	0.392435699	0.114859229	0.047858012	0.030082179	0.273474355	0.183227818	0.168186728	0.103920255	0.132635062	0.311760765	1.758440102
1960	0.451022516	0.126998445	0.051036758	0.030859435	0.261118298	0.216016047	0.131746051	0.079522391	0.132932952	0.320463366	1.801716259
1961	0.419621077	0.10364135	0.044237162	0.040445405	0.26542297	0.212338376	0.107433107	0.101113513	0.111224864	0.339994186	1.745472011
1962	0.406309179	0.095884172	0.043147877	0.021573939	0.312822111	0.188172687	0.148620466	0.119855215	0.153414675	0.359565645	1.849365966
1963	0.5837928	0.0972988	0.038224529	0.053282676	0.32780429	0.220080619	0.148264838	0.113515267	0.138998286	0.360237224	2.081499328
1964	0.437607448	0.117216281	0.037955748	0.03237402	0.315925785	0.179731631	0.138426846	0.107169171	0.148473956	0.348299806	1.863180692
1965	0.410874621	0.12305382	0.049012962	0.026070725	0.322234157	0.1439104	0.112625531	0.130353623	0.182495073	0.367075803	1.867706715
1966	0.395638819	0.12611623	0.048819186	0.024409593	0.327495372	0.17391835	0.226805801	0.104757836	0.167815952	0.362075629	1.957852769
1967	0.446528678	0.101395158	0.061422067	0.024373836	0.339283799	0.196940596	0.116994414	0.131618715	0.159892365	0.349033334	1.927482963
1968	0.451915128	0.126756682	0.043170754	0.043170754	0.315054652	0.149719849	0.118489942	0.114815835	0.190135023	0.349958666	1.903187288
