group	year	frequency	normalized_frequency
Language	uuuu	4	0.5882352941176471
Language	2014	19	0.6132989025177534
Language	2013	61	1.1159897548481523
Language	2012	49	0.8278425409697584
Language	2011	53	0.7801000883132175
Language	2010	71	1.0455013989103226
Language	200u	42	2.3001095290251916
Language	200?	1	16.666666666666664
Language	2009	61	0.8971907633475511
Language	2008	81	1.1740832004638353
Language	2007	72	1.063986995714497
Language	2006	76	1.0513210679208744
Language	2005	64	0.9759072888075633
Language	2004	64	1.0534979423868314
Language	2003	91	1.4303678088651368
Language	2002	98	1.4098690835850958
Language	2001	154	2.5077348965966455
Language	2000	108	1.6610273761919407
Language	19uu	17	0.45357524012806827
Language	199u	30	3.215434083601286
Language	1999	99	1.727145847871598
Language	1998	93	1.6654727793696276
Language	1997	59	1.1294027565084226
Language	1996	53	1.0720064724919094
Language	1995	42	0.9688581314878892
Language	1994	43	1.080130620447124
Language	1993	47	1.2361914781693846
Language	1992	53	1.4540466392318243
Language	1991	32	0.8926080892608089
Language	1990	60	1.7883755588673622
Language	1989	63	2.230088495575221
Language	1988	56	2.0779220779220777
Language	1987	34	1.245877610846464
Language	1986	42	1.643192488262911
Language	1985	19	0.8016877637130801
Language	1984	37	1.47117296222664
Language	1983	36	1.6378525932666061
Language	1982	31	1.5181194906953968
Language	1981	31	1.540755467196819
Language	1980	44	1.6218208625138224
Language	1979	26	1.3986013986013985
Language	1978	24	1.135825840037861
Language	1977	32	1.5362457993278924
Language	1976	22	1.3002364066193852
Language	1975	28	1.4981273408239701
Language	1974	17	0.994733762434172
Language	1973	33	1.89873417721519
Language	1972	19	1.0101010101010102
Language	1971	25	1.3000520020800832
Language	1970	22	1.0194624652455977
Language	196u	2	0.8620689655172413
Language	1969	38	2.0266666666666664
Language	1968	22	1.3134328358208955
Language	1967	17	1.0149253731343284
Language	1966	24	1.1934361014420687
Language	1965	11	0.5652620760534429
Language	1964	15	0.7564296520423601
Language	1963	21	1.1500547645125958
Language	1962	8	0.44223327805417356
Language	1961	9	0.5617977528089888
Language	1960	11	0.6040637012630422
Language	195u	1	0.6944444444444444
Language	1959	3	0.2824858757062147
Language	1958	17	1.6536964980544748
Language	1957	12	1.1988011988011988
Language	1956	11	1.2895662368112544
Language	1955	6	0.8
Language	1954	13	1.7127799736495388
Language	1953	5	0.7763975155279503
Language	1952	8	1.2698412698412698
Language	1951	2	0.36429872495446264
Language	1950	11	1.3784461152882206
Language	1949	6	1.1976047904191618
Language	1948	4	0.7462686567164178
Language	1947	5	1.0373443983402488
Language	1946	6	1.2711864406779663
Language	1945	4	0.9925558312655087
Language	1944	7	1.8617021276595744
Language	1943	1	0.33444816053511706
Language	1942	3	1.0204081632653061
Language	1940	5	1.1185682326621924
Language	1939	3	0.7712082262210797
Language	1938	9	2.6706231454005933
Language	1937	3	0.911854103343465
Language	1936	2	0.5617977528089888
Language	1935	4	1.2048192771084338
Language	1934	7	2.0588235294117645
Language	1933	5	1.5822784810126582
Language	1932	4	1.520912547528517
Language	1931	2	0.6688963210702341
Language	1930	6	1.4218009478672986
Language	1929	2	0.7633587786259541
Language	1928	3	1.0452961672473868
Language	1927	4	1.3937282229965158
Language	1926	3	0.949367088607595
Language	1925	4	1.3793103448275863
Language	1924	3	1.107011070110701
Language	1923	3	1.1111111111111112
Language	1922	6	2.459016393442623
Language	1921	1	0.5988023952095809
Language	1920	2	0.7662835249042145
Language	1919	2	1.2195121951219512
Language	1918	2	1.7094017094017095
Language	1917	1	0.8264462809917356
Language	1914	1	0.8
Language	1913	2	1.1363636363636365
Language	1912	3	1.6666666666666667
Language	1911	4	1.7543859649122806
Language	1910	2	0.8583690987124464
Language	1909	2	1.0050251256281406
Language	1908	3	1.2987012987012987
Language	1907	6	3.061224489795918
Language	1906	3	1.3274336283185841
Language	1905	8	3.9408866995073892
Language	1904	2	1.0869565217391304
Language	1903	3	1.6304347826086956
Language	1902	4	2.5806451612903225
Language	1901	2	1.4084507042253522
Language	1900	13	1.625
Language	189u	1	12.5
Language	1899	5	3.2467532467532463
Language	1898	4	2.380952380952381
Language	1897	6	5.128205128205128
Language	1895	3	3.0927835051546393
Language	1893	2	2.083333333333333
Language	1892	2	1.9047619047619049
Language	1891	1	1.0752688172043012
Language	1890	3	2.8846153846153846
Language	1889	3	3.296703296703297
Language	1888	8	8.080808080808081
Language	1887	4	3.7383177570093453
Language	1886	3	3.1578947368421053
Language	1885	1	1.25
Language	1884	2	2.631578947368421
Language	1883	3	5.454545454545454
Language	1882	2	2.73972602739726
Language	1881	2	3.7037037037037033
Language	1880	2	4.081632653061225
Language	1879	2	3.7735849056603774
Language	1877	2	5.0
Language	1875	2	4.3478260869565215
Language	1874	3	8.108108108108109
Language	1873	1	2.2222222222222223
Language	1872	3	10.0
Language	1871	3	8.571428571428571
Language	1870	1	2.631578947368421
Language	1869	3	8.823529411764707
Language	1868	4	12.5
Language	1867	1	3.3333333333333335
Language	1866	1	2.2222222222222223
Language	1865	3	9.67741935483871
Language	1864	3	6.666666666666667
Language	1863	1	3.225806451612903
Language	1862	1	2.380952380952381
Language	1860	2	4.166666666666666
Language	1857	2	9.090909090909092
Language	1855	1	4.3478260869565215
Language	1854	1	4.545454545454546
Language	1839	1	25.0
Language	1838	1	7.142857142857142
Language	1837	2	18.181818181818183
Language	1800	2	9.523809523809524
Language	1675	1	100.0
Language	1426	1	100.0
Language	1371	1	100.0
Language		3	0.7575757575757576
Arabic	2014	16	0.5164622336991607
Arabic	2013	37	0.676911818514453
Arabic	2012	27	0.456158134820071
Arabic	2011	39	0.5740359140418017
Arabic	2010	38	0.5595641289942571
Arabic	2009	58	0.8530666274452126
Arabic	2008	53	0.7682272793158429
Arabic	2007	66	0.9753214127382887
Arabic	2006	55	0.7608244570480012
Arabic	2005	49	0.7471790179932906
Arabic	2004	43	0.7078189300411523
Arabic	2003	49	0.7701980509273813
Arabic	2002	52	0.7480937994533161
Arabic	2001	52	0.8467676274222439
Arabic	2000	40	0.6151953245155337
Arabic	19uu	16	0.42689434364994666
Arabic	199u	2	0.21436227224008575
Arabic	1999	49	0.8548499651081646
Arabic	1998	51	0.9133237822349571
Arabic	1997	49	0.9379785604900459
Arabic	1996	47	0.9506472491909385
Arabic	1995	44	1.0149942329873125
Arabic	1994	35	0.8791760864104498
Arabic	1993	35	0.920568122041031
Arabic	1992	15	0.411522633744856
Arabic	1991	26	0.7252440725244073
Arabic	1990	18	0.5365126676602087
Arabic	198u	5	1.5822784810126582
Arabic	1989	24	0.8495575221238939
Arabic	1988	33	1.2244897959183674
Arabic	1987	12	0.4397215097105167
Arabic	1986	21	0.8215962441314555
Arabic	1985	11	0.4641350210970464
Arabic	1984	31	1.2326043737574552
Arabic	1983	22	1.0009099181073704
Arabic	1982	18	0.881488736532811
Arabic	1981	17	0.8449304174950298
Arabic	1980	27	0.9952082565425728
Arabic	1979	26	1.3986013986013985
Arabic	1978	24	1.135825840037861
Arabic	1977	20	0.9601536245799328
Arabic	1976	21	1.2411347517730498
Arabic	1975	24	1.2841091492776886
Arabic	1974	7	0.40959625511995323
Arabic	1973	19	1.093210586881473
Arabic	1972	19	1.0101010101010102
Arabic	1971	24	1.24804992199688
Arabic	1970	27	1.2511584800741427
Arabic	196u	1	0.43103448275862066
Arabic	1969	18	0.96
Arabic	1968	22	1.3134328358208955
Arabic	1967	28	1.671641791044776
Arabic	1966	17	0.8453505718547987
Arabic	1965	21	1.079136690647482
Arabic	1964	24	1.2102874432677762
Arabic	1963	16	0.8762322015334063
Arabic	1962	14	0.7739082365948038
Arabic	1961	21	1.3108614232209739
Arabic	1960	19	1.043382756727073
