Sum of normalized_frequency	Column Labels					
Row Labels	Chinese	Japanese	Jews	Literature	Language	Grand Total
1572	4					4
1573	1.793103448					1.793103448
1575			4			4
1578	4.444444444					4.444444444
1591	3.448275862					3.448275862
1593			5			5
1596	2.127659574					2.127659574
1597			2.43902439			2.43902439
1599	9.090909091					9.090909091
1601	1.587301587					1.587301587
1603	2.380952381					2.380952381
1606	1.538461538					1.538461538
1607	8.695652174					8.695652174
1608	3.571428571					3.571428571
1609	2.325581395					2.325581395
1610	3.703703704					3.703703704
1611	7.407407407					7.407407407
1616	6.25					6.25
1621	2.973977695					2.973977695
1622	8.695652174					8.695652174
1628	1.005025126					1.005025126
1629	1.666666667					1.666666667
1631						
1632	3.448275862					3.448275862
1633	1.923076923					1.923076923
1634	5.263157895					5.263157895
1638	11.11111111					11.11111111
1643	4.166666667					4.166666667
1644	1.336898396					1.336898396
1650	5					5
1652	4.761904762					4.761904762
1658	7.692307692					7.692307692
1660	2.857142857					2.857142857
1661	4.166666667					4.166666667
1662	0.447427293					0.447427293
1663	4.347826087					4.347826087
1667	3.846153846					3.846153846
1682	1.315789474					1.315789474
1683	5.405405405					5.405405405
1685	3.125					3.125
1686	0.877192982					0.877192982
1687	5.714285714	2.857142857			2.857142857	11.42857143
1689	2.43902439					2.43902439
1690					3.125	3.125
1691	3.448275862					3.448275862
1692		2.631578947			2.631578947	5.263157895
1694	0.680272109					0.680272109
1695	1.818181818	3.636363636			3.636363636	9.090909091
1697	0.371747212					0.371747212
1698	8.695652174					8.695652174
1699	3.125					3.125
1700	3.191489362					3.191489362
1701		3.333333333			3.333333333	6.666666667
1702	0.806451613					0.806451613
1705	2.857142857					2.857142857
1708	1.470588235					1.470588235
1711	2.5					2.5
1712			3.125			3.125
1715						
1716	3.03030303					3.03030303
1718	6.896551724					6.896551724
1720	0.78125					0.78125
1723				1.785714286	1.785714286	3.571428571
1725	3.333333333					3.333333333
1726	3.703703704					3.703703704
1727	3.703703704	3.703703704			3.703703704	11.11111111
1728			3.448275862			3.448275862
1731			2.777777778			2.777777778
1734			8.108108108			8.108108108
1735			2.631578947			2.631578947
1736	1.089324619		0.217864924			1.307189542
1737	4.255319149					4.255319149
1739						
1740			3.333333333			3.333333333
1742	2.631578947					2.631578947
1743						
1744	2.5					2.5
1747			2.631578947			2.631578947
1750	2.083333333					2.083333333
1752	1.886792453					1.886792453
1760	2.127659574					2.127659574
1763	2.702702703					2.702702703
1764	3.333333333					3.333333333
1765	2.083333333	2.083333333	4.166666667		2.083333333	10.41666667
1766	2		2			4
1767			1.785714286			1.785714286
1769	6.666666667					6.666666667
1770	2.43902439					2.43902439
1772	6.451612903	3.225806452			3.225806452	12.90322581
1774	1.886792453					1.886792453
1780	1.923076923					1.923076923
1781	3.846153846	3.846153846			3.846153846	11.53846154
1783	1.333333333		1.333333333			2.666666667
1784	3.50877193					3.50877193
1786		2.083333333			2.083333333	4.166666667
1787	1.639344262		1.639344262			3.278688525
1789	2.43902439					2.43902439
1790	1.19047619					1.19047619
1791	0.684931507					0.684931507
1792		2.816901408			2.816901408	5.633802817
1794	3.333333333	1.666666667			1.666666667	6.666666667
1795	1.428571429					1.428571429
1798	1.169590643					1.169590643
1799	1.57480315					1.57480315
1800	0.871459695	0.217864924			0.217864924	1.307189542
1801	1.162790698	0.581395349			0.581395349	2.325581395
1804	2.777777778				1.851851852	4.62962963
1805	1.282051282					1.282051282
1806	2	2	2		2	8
1807						
1808		0.917431193			0.917431193	1.834862385
1810	1.449275362					1.449275362
1811	1.086956522					1.086956522
1812	1.369863014					1.369863014
1813	0.8	0.8			0.8	2.4
1814	1.204819277					1.204819277
1816	2.727272727					2.727272727
1817	1.075268817					1.075268817
1819	1.960784314					1.960784314
1820	1.136363636	1.136363636				2.272727273
1821	0.630252101		0.210084034			0.840336134
1822		1.408450704	1.408450704		1.408450704	4.225352113
1823		0.740740741	1.481481481		0.740740741	2.962962963
1824			0.4784689			0.4784689
1825	5.93220339					5.93220339
1827						
1828	1.680672269					1.680672269
1829	1.459854015					1.459854015
1830	1.687763713	0.843881857	0.843881857		0.843881857	4.219409283
1831				0.598802395	1.19760479	1.796407186
1833	1.875					1.875
1835	0.862068966	1.724137931			1.724137931	4.310344828
1836	1.685393258	0.561797753			0.561797753	2.808988764
1837	0.452488688					0.452488688
1839		0.675675676			0.675675676	1.351351351
1840	0.809716599					0.809716599
1841			0.555555556			0.555555556
1842	1.666666667		0.555555556			2.222222222
1843	0.993377483		0.331125828			1.324503311
1844	1.718213058		0.343642612			2.06185567
1845	0.414937759					0.414937759
1846		0.347222222			0.347222222	0.694444444
1847	0.421940928	0.421940928			0.421940928	1.265822785
1848	1.123595506					1.123595506
1849	0.279329609					0.279329609
1850		0.4	0.4		0.4	1.2
1851	0.675675676	0.337837838			0.675675676	1.689189189
1852	0.4784689					0.4784689
1853	1.117318436		0.558659218			1.675977654
1854	1.209677419					1.209677419
1855	0.442477876	0.442477876	0.442477876		0.442477876	1.769911504
1856	0.787401575		1.181102362			1.968503937
1857			0.518134715			0.518134715
1858	1.657458564					1.657458564
1859			1.746724891			1.746724891
1860		0.217864924	0.217864924		0.217864924	0.653594771
1861		1.293103448	0.431034483		1.293103448	3.017241379
1862	0.352112676		0.528169014			0.88028169
1863		0.406504065	0.81300813	0.406504065	0.406504065	2.032520325
1864	0.380228137		0.760456274			1.140684411
1865	0.282485876		0.564971751			0.847457627
1866			0.346020761			0.346020761
1867	0.963855422	0.481927711	0.481927711		0.481927711	2.409638554
1868	0.543478261	0.18115942			0.18115942	0.905797101
1869	1.002506266	0.250626566	0.501253133		0.250626566	2.005012531
1870	0.407331976	0.203665988			0.203665988	0.814663951
1871	0.67264574					0.67264574
1872	0.483091787	0.483091787			0.483091787	1.449275362
1873	0.143061516	0.572246066	0.286123033	0.143061516	0.572246066	1.716738197
1874	0.679117148	0.679117148			0.679117148	2.037351443
1875	0.29739777	0.074349442	0.074349442		0.074349442	0.520446097
1876	0.247933884		0.165289256			0.41322314
1877	0.423529412		0.047058824			0.470588235
1878	0.968992248	0.19379845	0.19379845		0.19379845	1.550387597
1879	11.61007667	0.21905805	0.438116101		0.21905805	12.48630887
1880	0.438596491	0.14619883			0.292397661	0.877192982
1881	0.588235294	0.147058824	0.147058824		0.147058824	1.029411765
1882	0.859598854	0.143266476	0.429799427		0.143266476	1.575931232
1883	0.113442995	0.170164492			0.113442995	0.397050482
1884	1.236263736	0.412087912			0.412087912	2.06043956
1885	0.23364486	0.35046729		0.11682243	0.35046729	1.051401869
1886	0.592417062	0.473933649	0.473933649		0.473933649	2.014218009
1887	0.397350993	0.397350993	0.264900662	0.132450331	0.529801325	1.721854305
1888	0.563909774	0.093984962	0.187969925	0.469924812	0.093984962	1.409774436
1889	1.020408163	0.22675737	0.340136054	0.22675737	0.22675737	2.040816327
1890	0.956937799	0.119617225	0.119617225	0.119617225	0.358851675	1.674641148
1891	0.469483568	0.469483568	0.469483568	0.234741784	0.469483568	2.112676056
1892	0.701754386		0.935672515	0.116959064		1.754385965
1893	0.311850312	0.207900208	0.207900208	0.103950104	0.207900208	1.03950104
1894	0.621890547	0.870646766	0.248756219	0.497512438	0.995024876	3.233830846
1895	0.702106319	0.300902708	0.300902708	0.200601805	0.501504514	2.006018054
1896	0.318133616	0.424178155	0.106044539	0.212089077	0.530222694	1.590668081
1897	0.715990453	0.715990453	0.954653938	0.238663484	0.715990453	3.341288783
1898	0.453001133	0.339750849	0.226500566	0.113250283	0.339750849	1.472253681
1899	0.33632287	0.224215247	0.33632287		0.33632287	1.233183857
1900	0.810221253	0.342785915	0.186974135	0.062324712	0.342785915	1.745091929
1901	0.911161731	0.227790433	0.455580866	0.341685649	0.227790433	2.164009112
1902	1.043841336	0.626304802	0.313152401	0.835073069	0.626304802	3.444676409
1903	0.406917599	1.017293998	0.2034588	0.1017294	1.017293998	2.746693795
1904	0.829875519	0.414937759	0.622406639	0.20746888	0.518672199	2.593360996
1905	0.6	1	0.1	0.1	1	2.8
1906	0.434027778	0.694444444	0.434027778	0.260416667	0.694444444	2.517361111
1907	0.240963855	0.401606426	0.16064257	0.240963855	0.401606426	1.445783133
1908	0.450788881	0.525920361	0.07513148	0.15026296	0.601051841	1.803155522
1909	0.738255034	0.604026846	0.402684564	0.33557047	0.604026846	2.684563758
1910	0.543724513	0.317172633	0.362483009	0.22655188	0.317172633	1.767104667
1911	0.507356672	0.152207002	0.35514967	0.35514967	0.101471334	1.471334348
1912	0.470366886	0.235183443	0.423330198	0.188146754	0.32925682	1.646284102
1913	0.232018561	0.406032483	0.348027842	0.464037123	0.580046404	2.030162413
1914	0.649913345	0.173310225	0.259965338	0.47660312	0.216637782	1.776429809
1915	0.624290579	0.397275823	0.056753689	0.283768445	0.283768445	1.645856981
1916	1.156069364	0.21019443		0.262743037	0.21019443	1.839201261
1917	0.808960797	0.311138768	0.124455507	0.124455507	0.311138768	1.680149347
1918	0.561403509	0.350877193	0.280701754	0.210526316	0.49122807	1.894736842
1919	0.894085282	0.137551582	0.618982118	0.343878955	0.275103164	2.2696011
1920	0.407256572	0.296186598	0.370233247	0.074046649	0.333209922	1.480932988
1921	0.285714286	0.12244898	0.285714286	0.244897959	0.12244898	1.06122449
1922	0.786056049	0.37593985	0.615174299	0.44429255	0.44429255	2.665755297
1923	0.53030303	0.227272727	0.606060606	0.227272727	0.303030303	1.893939394
1924	0.541919031	0.318775901	0.318775901	0.382531081	0.414408671	1.976410583
1925	0.548395942	0.246778174	1.727447217	0.274197971	0.301617768	3.098437072
1926	0.672703752	0.258732212	0.310478655	0.388098318	0.336351876	1.966364812
1927	0.447828034	0.13434841	0.559785043	1.209135692	0.291088222	2.642185401
1928	1.025991792	0.47879617	0.364797082	1.162790698	0.524395805	3.556771546
1929	0.653861872	0.429096853	0.531262771	0.939926441	0.490396404	3.04454434
1930	0.723514212	0.344530577	0.534022394	1.395348837	0.430663221	3.428079242
1931	0.93681483	0.657763604	0.418576839	0.697628065	0.657763604	3.36854694
1932	1.090188305	0.515361744	0.297324083	0.455896928	0.515361744	2.874132805
1933	1.301552454	0.470440646	0.376352517	0.595891485	0.54884742	3.293084523
1934	1.162088741	0.57349834	0.452761847	0.799879264	0.648958648	3.63718684
1935	1.192191799	0.393030263	0.471636316	0.43233329	0.497838334	2.987030001
1936	1.556516368	0.345892526	0.481778876	0.432365658	0.420012353	3.236565781
1937	1.133820677	0.417723407	0.328211249	0.47739818	0.492316873	2.849470386
1938	0.844594595	0.45045045	0.638138138	0.394144144	0.563063063	2.89039039
1939	1.069791136	0.356597045	0.594328409	0.390558669	0.458481915	2.869757174
1940	0.82605985	0.264962594	0.420822943	0.374064838	0.451995012	2.337905237
1941	1.360069747	0.523103749	0.575414124	0.453356582	0.592850915	3.504795118
1942	0.694745983	0.629613548	0.499348676	0.694745983	0.629613548	3.148067738
1943	0.833951075	0.815418829	0.852483321	0.685693106	0.815418829	4.002965159
1944	0.914331147	0.616179686	0.973961439	0.417412045	0.73544027	3.657324588
1945	0.782778865	0.065231572	1.456838443	0.108719287	0.217438574	2.631006741
1946	0.620460048	0.136198547	1.180387409	0.196731235	0.378329298	2.512106538
1947	0.706193909	0.220685597	1.191702222	0.514933059	0.470795939	3.104310725
1948	0.608044902	0.514499532	0.685999376	0.748362956	0.717181166	3.274087933
1949	0.323582708	0.375355941	0.478902407	0.465959099	0.582448874	2.226249029
1950	0.2874481	0.479080166	0.628127329	0.330033003	0.787820718	2.512509315
1951	0.457665904	0.444205142	0.255754476	0.538430475	0.673038094	2.369094091
1952	0.274905092	0.418902998	0.628354497	0.261814374	0.445084435	2.029061395
1953	0.479501319	0.44353872	0.635339247	0.431551187	0.52745145	2.517381923
1954	0.541205412	0.455104551	0.688806888	0.565805658	0.479704797	2.730627306
1955	1.567469332	0.545206724	0.533848251	0.499772831	0.499772831	3.646069968
1956	0.866840731	0.375979112	0.459530026	0.54308094	0.46997389	2.7154047
1957	0.946471764	0.494268588	0.746661058	0.567883058	0.725628352	3.480912819
