Sum of normalized_frequency	Column Labels					
Row Labels	Art	Christianity	language	Math	Science	Grand Total
1678						
1679		2.5				2.5
1682		1.754385965				1.754385965
1683			2.5			2.5
1684		1.886792453			1.886792453	3.773584906
1686		1.818181818				1.818181818
1688						
1689		2.127659574			1.063829787	3.191489362
1690						
1691		3.50877193				3.50877193
1692		2.564102564				2.564102564
1695		1.428571429				1.428571429
1696		1.538461538				1.538461538
1697	1.408450704	1.408450704	1.408450704		1.408450704	5.633802817
1698		1.515151515	1.515151515			3.03030303
1699		1.052631579				1.052631579
1700		2.094240838				2.094240838
1701	1.162790698	2.325581395				3.488372093
1702		2.150537634	1.075268817			3.225806452
1704		4.651162791	1.162790698			5.813953488
1705		3.174603175				3.174603175
1706		4.918032787			1.639344262	6.557377049
1707		2.197802198				2.197802198
1708		1.351351351	1.351351351			2.702702703
1709		2.083333333				2.083333333
1710	1.063829787	1.063829787		1.063829787		3.191489362
1711		3.370786517				3.370786517
1712		4.587155963		0.917431193		5.504587156
1713		2.678571429				2.678571429
1714		3.921568627				3.921568627
1715		0.751879699				0.751879699
1716		1.020408163				1.020408163
1717		3.149606299				3.149606299
1718	0.961538462			0.961538462		1.923076923
1719		1.801801802		0.900900901		2.702702703
1720		1.960784314	0.653594771		0.653594771	3.267973856
1721						
1722		0.67114094				0.67114094
1723		2.857142857				2.857142857
1724		0.775193798			0.775193798	1.550387597
1725		2.51572327	0.628930818			3.144654088
1726	0.636942675	1.27388535				1.910828025
1727		3.015075377				3.015075377
1728		1.015228426		0.507614213		1.52284264
1729	0.617283951	1.234567901		1.851851852	0.617283951	4.320987654
1730		2.48447205			0.621118012	3.105590062
1731	0.666666667	2.666666667			0.666666667	4
1732						
1733	1.333333333	2				3.333333333
1735		0.724637681	0.724637681		0.724637681	2.173913043
1736		0.641025641	0.641025641			1.282051282
1737			0.819672131	0.819672131		1.639344262
1738		1.307189542				1.307189542
1739		1.863354037				1.863354037
1740		1.333333333				1.333333333
1741		1.960784314				1.960784314
1742		3.272727273				3.272727273
1743		1.19047619	0.396825397		0.396825397	1.984126984
1744		0.836820084				0.836820084
1745		0.425531915				0.425531915
1746		2.645502646	0.529100529			3.174603175
1747	0.483091787	3.8647343		0.483091787		4.830917874
1748		2.654867257				2.654867257
1749	0.497512438	1.990049751				2.487562189
1750						
1751		0.492610837	0.492610837			0.985221675
1752						
1753		0.787401575				0.787401575
1754	0.393700787	0.787401575				1.181102362
1755		0.56022409			0.280112045	0.840336134
1756		0.699300699		0.34965035		1.048951049
1757		0.294985251		0.294985251		0.589970501
1758		0.303030303				0.303030303
1759		0.600600601				0.600600601
1760	0.564971751	0.564971751		0.564971751		1.694915254
1761		1.290322581		0.322580645		1.612903226
