Sum of normalized_frequency	Column Labels				
Row Labels	Education	Jews	Language	Law	Grand Total
1835				1.408450704	1.408450704
1836	1.136363636				1.136363636
1838				1.851851852	1.851851852
1840				1.149425287	1.149425287
1841					
1842					
1843			1.19047619	1.19047619	2.380952381
1844			1.388888889	1.388888889	2.777777778
1845			1.298701299	2.597402597	3.896103896
1846			1.315789474		1.315789474
1847	1.428571429		1.428571429	2.857142857	5.714285714
1848	1.063829787		1.063829787		2.127659574
1849	1.315789474		1.315789474	1.315789474	3.947368421
1850					
1851				1.176470588	1.176470588
1852				1.408450704	1.408450704
1853				1.098901099	1.098901099
1854					
1855				0.877192982	0.877192982
1856	1.834862385			0.917431193	2.752293578
1857	0.892857143			1.785714286	2.678571429
1858			0.769230769	0.769230769	1.538461538
1859	1.754385965			2.631578947	4.385964912
1860			1.212121212	0.606060606	1.818181818
1861	0.625			0.625	1.25
1862					
1863				2.040816327	2.040816327
1864	0.495049505			0.495049505	0.99009901
1865				0.621118012	0.621118012
1866			0.64516129	0.64516129	1.290322581
1867			0.602409639		0.602409639
1868	0.540540541			1.081081081	1.621621622
1869				0.896860987	0.896860987
1870	1.538461538				1.538461538
1871	0.537634409		0.537634409	1.075268817	2.150537634
1872	0.526315789		0.526315789		1.052631579
1873				1.271186441	1.271186441
1874	0.476190476			0.476190476	0.952380952
1875			0.393700787		0.393700787
1876			0.431034483	0.431034483	0.862068966
1877				0.877192982	0.877192982
1878			0.448430493	1.34529148	1.793721973
1879				1.376146789	1.376146789
1880			0.436681223	0.436681223	0.873362445
1881	1.136363636		0.378787879	0.757575758	2.272727273
1882	0.460829493		0.460829493	0.921658986	1.843317972
1883	0.396825397				0.396825397
1884	0.469483568			0.469483568	0.938967136
1885	0.46728972				0.46728972
1886	0.900900901			0.45045045	1.351351351
1887	0.393700787		1.181102362	1.181102362	2.755905512
1888	0.336700337			0.673400673	1.01010101
1889	0.729927007			1.094890511	1.824817518
1890	0.37037037		0.37037037	1.481481481	2.222222222
1891	0.350877193		0.350877193	0.701754386	1.403508772
1892	1.379310345			1.034482759	2.413793103
1893	1.76056338		0.352112676	0.704225352	2.816901408
1894	0.684931507		1.369863014	1.369863014	3.424657534
1895	0.336700337		0.673400673	1.683501684	2.693602694
1896	0.571428571		0.571428571	1.428571429	2.571428571
1897	0.303951368		2.127659574	0.607902736	3.039513678
1898	0.641025641		0.320512821	1.282051282	2.243589744
1899	0.337837838	0.337837838	0.337837838	0.675675676	1.689189189
1900	0.143061516	1.144492132	1.001430615	0.429184549	2.718168813
1901	0.55401662		0.831024931	1.108033241	2.493074792
1902	0.54200542		0.81300813	1.62601626	2.98102981
1903	0.259067358		0.518134715	1.03626943	1.813471503
1904	1.126126126		0.45045045	0.900900901	2.477477477
1905	0.763358779		0.508905852	0.254452926	1.526717557
1906	0.70754717		0.70754717	1.179245283	2.594339623
1907	0.232018561		0.232018561	1.62412993	2.088167053
1908	0.930232558		0.465116279	1.162790698	2.558139535
1909	0.684931507	0.456621005	0.228310502	1.598173516	2.96803653
1910	1.41955836	0.157728707	0.47318612	1.104100946	3.154574132
1911	1.458333333		0.625	2.083333333	4.166666667
