group	year	frequency	normalized_frequency
Judaism	uuuu	17	0.016774384528097094
Judaism	20uu	4	0.4889975550122249
Judaism	201u	41	1.607843137254902
Judaism	2015	4	0.09972575417601597
Judaism	2014	215	0.20655202228840427
Judaism	2013	445	0.2587119053986489
Judaism	2012	468	0.24560225030437885
Judaism	2011	487	0.24021150450334916
Judaism	2010	546	0.25936640492511154
Judaism	200u	305	1.3371914595115963
Judaism	2009	549	0.25174594294675734
Judaism	2008	571	0.272343104616001
Judaism	2007	559	0.2640105037452653
Judaism	2006	441	0.21427946707093087
Judaism	2005	455	0.22161501332125408
Judaism	2004	454	0.22481368689494666
Judaism	2003	422	0.21933813936807744
Judaism	2002	496	0.24469901035037347
Judaism	2001	602	0.2978723404255319
Judaism	2000	552	0.25977204062232345
Judaism	1uuu	293	1.360196833944571
Judaism	19uu	839	0.6658360249827391
Judaism	199u	158	0.9928988877018788
Judaism	1999	426	0.20621151686481043
Judaism	1998	440	0.21204410517387615
Judaism	1997	402	0.19248909467877784
Judaism	1996	381	0.19460817865132957
Judaism	1995	401	0.20599491434002004
Judaism	1994	346	0.18452742845562276
Judaism	1993	372	0.2065851802899967
Judaism	1992	374	0.2151131357053295
Judaism	1991	248	0.14409138182473144
Judaism	1990	226	0.13001582050913274
Judaism	198u	19	0.2650669642857143
Judaism	1989	220	0.13156163662675965
Judaism	1988	227	0.1364830658786323
Judaism	1987	159	0.0998837830197569
Judaism	1986	119	0.07537370154547758
Judaism	1985	115	0.07559821193794374
Judaism	1984	140	0.09631326577645691
Judaism	1983	106	0.0719678453098691
Judaism	1982	113	0.08241137131063253
Judaism	1981	97	0.07132824966358067
Judaism	1980	109	0.07597724864774438
Judaism	197u	20	0.2914602156805596
Judaism	1979	119	0.08947032066463666
Judaism	1978	96	0.07318746664633682
Judaism	1977	80	0.06165323139999075
Judaism	1976	77	0.06260824314764975
Judaism	1975	95	0.07940886370095458
Judaism	1974	71	0.06061278673689782
Judaism	1973	74	0.06367672873713558
Judaism	1972	68	0.05895970797603461
Judaism	1971	86	0.07639622993488554
Judaism	1970	88	0.06917858293961811
Judaism	196u	17	0.2972027972027972
Judaism	1969	70	0.06159965504193176
Judaism	1968	84	0.07715624138881234
Judaism	1967	76	0.07409646189394457
Judaism	1966	69	0.07017757978885701
Judaism	1965	78	0.08134066094501163
Judaism	1964	86	0.0960057156891201
Judaism	1963	63	0.07297409998610017
